"0 ID, 1 H, 2 e, 3 a, 4 Perigee, 5 i, 6 RAAN, 7 arg_perig, 8 Apogee, 9 period [y],10 MOID, 11 condition_code, 12 SMASS taconomy, 13 Spin period,14 Satellites, 15 PHA"
(2005 WN3),29.9,.7258291990285011,2.487568444041895,.6820186327743917,.484490326129432,242.7555485300385,255.5865923989078,4.293118255309399,3.92347383474293,.000129436,8,,,0,N
(2006 BF56),29.6,.7991277011373971,2.338800061520747,.4698001449376697,.9613820419216025,125.2788459655436,102.6041004281859,4.207799978103824,3.57682627494864,.00078878,7,,,0,N
(2006 RH120),29.5,.02448682110602799,1.033254382055766,1.007953266845347,.5943903405611557,51.21034473613451,10.02701190651652,1.058555497266185,1.05031383456762,.0170072,1,,0.04583,0,N
(2008 BW2),29.7,.3313692033609191,1.393692262657868,.9318655678506538,4.108892749904285,117.4815230349609,319.9446458934506,1.855518957465083,1.64535091000675,.00267419,7,,,0,N
(2008 EK68),29.58,.3969271938977286,1.484778308898044,.8954294211869287,3.962913175998933,344.2351687198885,129.4697587515314,2.07412719660916,1.80925850875104,.00205204,9,,,0,N
(2008 ED85),29.94,.3490283443692624,1.502202935146369,.9778915317855857,4.831931593123987,352.6017863143269,204.4900978775137,2.026514338507153,1.84120061624691,.00414845,9,,,0,N
(2008 JL24),29.6,.1065951829352605,1.038208561563206,.9275405300184228,.5512360266455727,225.6372110524583,282.2056206685585,1.14887659310799,1.05787684471073,.000287855,4,,0.05385,0,N
(2008 WO2),29.8,.1881839650534357,1.025097242616128,.8321903789352809,2.010370989321986,238.0169947644241,85.89289476034691,1.218004106296974,1.03790068898557,.00252714,6,,,0,N
(2009 VT1),29.5,.5019749422713982,1.978256861334286,.9852214875680106,.2728962837000795,216.4691240921925,179.088159448639,2.971292235100562,2.7824811015335,.000713458,7,,,0,N
(2010 UE),29.6,.6920937361003611,2.522042581937454,.7765527088001605,3.036412879207669,22.92130252819919,297.1735200769602,4.267532455074748,4.0053163605592,.000156535,9,,,0,N
(2010 WA),30.0,.5044141462997389,1.698096111231201,.8415524109496081,8.219505568814082,234.3788457227626,236.3954957460896,2.554639811512793,2.21284810199164,.000395622,7,,0.0085799,0,N
(2010 XB),29.6,.6527661196191793,1.775681638335491,.6165768256002057,1.486498116685515,248.4347115487187,92.65635204942768,2.934786451070777,2.36622401654553,.000214899,7,,,0,N
(2011 AM37),29.9,.1473125197931189,1.100433650304288,.9383259964128234,2.629381563759842,291.1905032871033,129.315966516688,1.262541304195753,1.15439382678678,.000950276,6,,,0,N
(2011 JV10),29.7,.2028589849660681,1.141024152279401,.9095571509262335,1.375858566816305,218.6765242663349,299.9236111352086,1.372491153632569,1.21885055166755,.00180904,7,,,0,N
(2011 YC40),29.64,.4203901975506866,1.437315808407421,.8330823317683008,6.43732065637561,96.13437811193681,298.6023081707161,2.041549285046542,1.72320325217523,.000521785,8,,,0,N
(2011 YB63),29.8,.5131247233066378,1.950602765071144,.9497002609628504,1.49262820740414,277.2219338282919,210.79628681934,2.951505269179437,2.72434093206027,.00217783,7,,,0,N
(2012 XB112),29.9,.1446360834444834,1.028779900597431,.8799812050486137,1.321818336277578,76.89178581766268,88.88834434240528,1.177578596146248,1.04349869064441,.000649212,3,,0.043333,0,N
(2013 WH25),29.6,.6706184052900305,1.595062993423758,.5253843924367751,2.956169950278274,246.9794359220554,279.2863521153899,2.664741594410742,2.0145356678648,.000181177,9,,,0,N
(2014 AG51),29.9,.5911023025971793,1.875160308650462,.7667487324683366,.0922157599061518,145.1660789375823,257.8585841456438,2.983571884832589,2.56782725941975,.000289759,7,,,0,N
(2014 HD198),29.65,.6431207963630002,2.114554867974618,.7546406573295229,.9815137892405357,220.4061077234305,69.11761843591164,3.474469078619713,3.07493995875337,1.68095E-5,9,,,0,N
(2014 HY198),29.7,.1982052647224339,1.096433949812411,.8791149685391779,2.497456500367278,227.2382952788828,74.80944513649081,1.313752931085644,1.14810580819589,.00173311,8,,,0,N
(2014 WX202),29.6,.05877615136106507,1.035551244263956,.9746855275889582,.4129109167043972,243.8917216061577,214.1968925951224,1.096416960938954,1.05381795664317,.000848307,2,,,0,N
(2015 WZ1),29.6,.6605264819324218,2.241339890332488,.7608755377563695,5.721768421651404,56.67777523247031,69.29157817071467,3.721804242908606,3.3555968892558,.0073825,7,,,0,N
(2016 AH164),29.7,.2489904564848581,1.150607942940347,.8641175459925264,1.722670667869076,290.5067363944452,113.1355468621111,1.437098339888167,1.23423896751401,.000172833,6,,,0,N
(2016 AQ164),29.8,.5775563455611153,1.916172822030745,.8094750494751384,5.297247756251173,289.9026597084397,120.7090153326864,3.022870594586351,2.65252946203775,.00066669,8,,,0,N
(2016 CW264),29.8,.7649458320830976,2.020346992322538,.4748909811837905,5.736271458970227,141.7448549470136,257.8176745209581,3.565803003461285,2.87175344301214,.00139827,8,,,0,N
(2016 CM323),29.77,0.4241625,1.5620884,0.8995091,12.72746,138.72726,46.73884,2.2246677,1.95239021245722,,9,,,0,
(2016 DA31),29.9,.4498202445375504,1.270106368564671,.6987868112682106,.02235502880461041,339.4481943232816,268.0343655173404,1.841425925861131,1.431424158937,4.3523E-6,8,,,0,N
(2016 ES85),29.7,.08958721666238438,.9691218069447399,.8823008816537401,2.241195122942321,166.2781564910995,123.4892646956187,1.05594273223574,0.954060139289864,.00766924,5,,,0,N
(2016 FW13),29.5,.3622526338903211,1.314572641970352,.8383652399764339,5.176323637265992,194.4493351702075,67.90204213949026,1.79078004396427,1.50724928646457,.0018838,7,,,0,N
