ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,g_2,familiar,approaches,is_NHATS,is_geometry
(2008 WO2),29.8,.1881839650534357,1.025097242616128,.8321903789352809,2.010370989321986,238.0169947644241,85.89289476034691,1.218004106296974,1.03790068898557,.00252714,6,,,0,N,327.25547977970893,27.384744625110415,0.001031327241415081,(2019 VC37),2.0,True,False
(2011 AM37),29.9,.1473125197931189,1.100433650304288,.9383259964128234,2.629381563759842,291.1905032871033,129.315966516688,1.262541304195753,1.15439382678678,.000950276,6,,,0,N,718.9372551916811,7.476942898636839,0.0012591638130436955,(2023 CZ2),1.0,True,False
(2014 WX202),29.6,.05877615136106507,1.035551244263956,.9746855275889582,.4129109167043972,243.8917216061577,214.1968925951224,1.096416960938954,1.05381795664317,.000848307,2,,,0,N,219.46922415323363,19.581158824559534,0.0005853448045627374,(2008 EA9),2.0,True,False
(2018 TV5),29.5,.5275048757841532,1.465062675704682,.6922349709410845,5.443808920418381,192.6753091900729,263.7972733084746,2.237890380468279,1.7733420353393,.00010294,6,,,0,N,1881.6444138121421,2.293088897671591,0.003913276554739831,(2019 GH3),1.0,False,False
(2019 JY2),29.6,.2724420138896858,1.089030695998201,.792332979992765,.9836689720574074,226.1974193606662,268.3148657585083,1.385728412003637,1.13649723651434,.000582546,5,,,0,N,522.3728283793695,8.326155646344848,0.0008935073359155332,(2022 JF2),2.0,True,False
(2019 VC37),29.68,.1731572269830705,1.050891900173905,.868922372880822,2.56445562540196,220.0302211247082,97.5553111263069,1.232861427466988,1.07732135662131,.00113686,6,,,0,N,319.1394748897053,13.933037438771434,0.001031327241415081,(2008 WO2),1.0,False,False
(2020 BZ13),29.9,.6776219116703267,1.267118713339983,.4084913084932989,18.49743057839884,128.2644825428292,116.6516768656618,2.125746118186666,1.42637644872083,.000383937,7,,,0,N,4785.994148120294,3.3453452999106674,0.013233812181751237,(2017 AN4),1.0,False,False
(2020 DR4),29.75,.2924123325917091,.8154099380639516,.5769740160562103,4.356669420803615,336.4474606069837,32.29820210713754,1.053845860071693,0.736329504099272,.000843497,6,,,0,N,840.2843650401799,2.792612429327324,0.0033006813966591775,(2021 EH2),1.0,True,False
(2020 PX5),29.56,.4957382972474836,1.844281360682898,.930000459292686,2.446540369969793,140.4834749068633,137.16675818228,2.758562262073111,2.50466108312967,.00117923,7,,,0,N,1467.868602636066,1.6646014914667804,0.001421880224392158,(2008 GO20),1.0,False,False
(2020 RD4),29.7,.3388231593054277,1.011472680701812,.668762311475294,2.604195268346739,352.1579173500357,108.8251678078246,1.35418304992833,1.01727749801934,6.37389E-5,6,,,0,N,998.7741707188967,58.87875066636547,0.0023528218665487266,(2021 PQ6),4.0,False,False
