ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
363599 (2004 FG11),21.05,.7235521704464765,1.586656075041544,.4386276281931473,3.135173494381031,83.45271190761756,228.8103757329893,2.73468452188994,69.49679656008264,1.99862999362534,.0203949,0,,7.021,1,Y,5701.821256404994,2.001371885867043,3.0,2032-04-08,False,False,0.0,-,999.0
375657 (2009 CP5),21.49,.3143718452515688,1.225335873290766,.8401247737514053,13.11481970290752,330.2334695196231,268.4524979800176,1.610546972830126,136.9950072742841,1.35640981790779,.0579809,0,,,0,N,3715.379555382024,3.805758847694592,1.0,2032-08-06,False,False,0.0,-,999.0
416283 (2003 MM),21.62,.2562403709377483,1.053191403246994,.7833212474105367,8.544283872841044,127.6029098775243,19.81952998935984,1.323061559083451,354.8750850708304,1.0808592920415,.131726,0,,,0,N,3882.898773080892,13.367162446670461,1.0,2030-06-03,False,False,3.0,452807 (2006 KV89),0.10000000000000142
422686 (2000 AC6),21.63,.2864454672152815,.8536902158212014,.6091545230931829,4.699686643278437,101.3644594062605,188.071410042843,1.09822590854922,335.0211193089317,0.78878502729338,.046216,0,Q,2.4437,0,Y,2386.8369753899697,3.7345128386755566,1.0,2030-02-21,True,False,0.0,-,999.0
424392 (2007 YJ),22.12,.279766983257391,1.103254765004329,.7946005076347259,3.309269022943225,28.8743229185653,199.3927691616174,1.411909022373932,59.23896652816396,1.15883584435713,.0509631,0,,,0,N,1802.5278763310066,7.295808128495087,1.0,2030-07-11,True,False,1.0,612786 (2004 PJ2),0.5500000000000007
425755 (2011 CP4),21.16,.8702543891792913,.9116430074170651,.118281678847755,9.465961021826542,147.9795568281527,159.928027597845,1.705004335986375,146.3738854176354,0.870453167508891,.0193055,0,,,0,Y,10092.08153843935,6.719216138060586,1.0,2032-02-26,False,False,0.0,-,999.0
429389 (2010 PR10),21.66,.1759605163511294,1.198213682985532,.9873753846284091,9.161247847636762,334.4493691133802,65.28985751603618,1.409051981342655,229.8454954530438,1.31162478390475,.0552148,0,,,0,N,3718.2209355348828,4.208987383704554,2.0,2031-09-08,False,False,3.0,251732 (1998 HG49),0.10000000000000142
433303 (2013 NX),22.09,.1697142280266547,1.032343799916497,.8571403688555652,6.321780895206357,112.6152266081242,312.6576610546931,1.207547230977428,147.6856225809894,1.04892571617447,.054936,2,,0.1529,0,N,3133.3337666301654,21.43914894232679,1.0,2034-08-15,True,False,1.0,515639 (2014 MK27),0.370000000000001
434500 (2005 SB71),21.20,.2573309242456785,1.263684305399547,.9384992551363233,13.20955760946903,200.5823746003758,100.4611948274019,1.588869355662771,191.0431251037653,1.42058128804517,.086064,0,,,0,N,4771.222166582088,3.377661651681948,1.0,2032-09-27,False,False,0.0,-,999.0
437841 (1998 HD14),21.0,.3126300703288577,.9632799323612691,.6621296593607883,7.814226484231292,183.7592188213488,260.9069328931834,1.26443020536175,94.39236773629739,0.945446528639486,.0333853,0,,,0,Y,3520.731160049346,17.330639188687872,1.0,2033-04-05,False,False,2.0,465824 (2010 FR),0.6900000000000013
