ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA
(1993 KA2),29.0,.7743508412253705,2.223870131106827,.5018144243082805,3.183491028129013,239.6280927745021,261.3038328885245,3.945925837905372,14.09141611528508,3.31644145441383,.000246364,8,,,0,N
(2000 LG6),29.0,.1105123937148174,.9170350106560461,.8156912765081534,2.829357958283078,72.51802540223007,8.159924814623622,1.018378744803939,306.5856485020406,0.878187148009671,.00292902,6,,,0,N
(2003 SW130),29.1,.3043544530605442,.8836607911013437,.6147146943346464,3.67370151792293,176.305335754868,47.74978028030559,1.152606887868041,107.0560197255901,0.830685405446081,.000790366,5,,,0,N
(2003 YS70),29.1,.2339697838537727,1.281883092505348,.9819611824260658,.3555068870400414,270.9557681004068,196.7344137391177,1.58180500258463,217.7259423946712,1.45137898797391,.00085271,5,,,0,N
(2004 FU162),29.48,.3921717510663896,.8268620088708117,.502590086961673,4.164655704774893,191.2486013061138,139.7841451391181,1.151133930779951,262.6670209006733,0.751895974322539,7.22623E-5,9,,,0,N
(2004 YD5),29.3,.7826044297048294,2.272022380413376,.493927601113357,3.60964688544111,88.45890208980722,262.0629356618292,4.050117159713395,12.99505420865654,3.42473608553314,.000230663,8,,,0,N
(2005 WN3),29.9,.7258291990285011,2.487568444041895,.6820186327743917,.484490326129432,242.7555485300385,255.5865923989078,4.293118255309399,349.0846717358328,3.92347383474293,.000129436,8,,,0,N
(2006 BO7),29.3,.4033729298326671,1.436222574388581,.8568892666656437,.3394432650799541,294.2899492052887,248.5078546523202,2.015555882111519,47.97889417704739,1.72123760259201,.00111227,7,,,0,N
(2006 BV39),29.1,.27075739550666,1.14458938053425,.8346833409362148,.7421746317320238,127.4798097494504,74.72572073237785,1.454495420132284,216.5839625257489,1.22456761704416,.000323593,6,,,0,N
(2006 BF56),29.6,.7989717856869842,2.33878498260725,.470161768715633,.9613737830342344,125.2769324029922,102.6101679435555,4.207408196498866,120.0198947366201,3.57679168377006,.000765931,7,,,0,N
(2006 RH120),29.5,.02444713816282054,1.033272196990394,1.008011648830769,.5943807081584774,51.21016000486541,10.02801133111491,1.058532745150019,218.4048610170129,1.05034099828443,.0171607,1,,0.04583,0,N
(2007 EK),29.3,.2724291923635281,1.126231276355227,.8194129993232271,1.208586491640995,168.4963321240861,83.48832716834853,1.433049553387227,15.42258446488392,1.19522475113611,.00141077,6,,,0,N
(2008 BW2),29.7,.3313232984725205,1.393797757131125,.9320000868348395,4.108988068008691,117.4787243056625,319.9611189347604,1.85559542742741,202.5190374625644,1.64553772891597,.00215567,7,,,0,N
(2008 EF32),29.4,.5225755492144663,1.628748972613518,.7776045837175112,1.737047252058623,349.1759149186282,112.2686285351199,2.479893361509525,22.15233439153786,2.07868860065313,.000369006,9,,,0,N
(2008 EK68),29.58,.3969271938977286,1.484778308898044,.8954294211869287,3.962913175998933,344.2351687198885,129.4697587515314,2.07412719660916,21.80323719575289,1.80925850875104,.00205204,9,,,0,N
(2008 ED85),29.94,.3490283443692624,1.502202935146369,.9778915317855857,4.831931593123987,352.6017863143269,204.4900978775137,2.026514338507153,348.7125634386336,1.84120061624691,.00414845,9,,,0,N
(2008 JL24),29.6,.1064407046987647,1.037965925254279,.9274841007169083,.5512838143634353,225.6283876050361,282.264916916121,1.14844774979165,89.84345973866061,1.05750601700101,.000517271,4,,0.05385,0,N
(2008 TS10),29.0,.2025680355240586,1.258403632282914,1.003491280595024,1.46837425913048,5.638552420703038,345.3692043032858,1.513315983970803,17.90609447259592,1.4116861276914,.00322976,8,,,0,N
(2008 UA202),29.4,.06857663535699685,1.033311010941222,.9624500185335358,.2627048620311399,21.12861397982961,300.8413157822471,1.104172003348908,327.0598397007107,1.05040018152796,.000245211,6,,,0,N
(2008 WO2),29.8,.1881591118666271,1.025135824736936,.8322471784117715,2.010356664502576,238.0154634411824,85.8818283497818,1.2180244710621,19.40612034979392,1.03795928555314,.00248567,6,,,0,N
(2009 SH1),29.42,.2446898501848266,1.196435366726652,.9036797760864793,3.301078964776578,354.9260218796127,294.7931271637964,1.489190957366824,41.80670997099722,1.30870591634277,.00394136,9,,,0,N
(2009 TB),29.2,.6602912824486068,2.564323415810549,.8711230189720095,8.19891332992262,7.989891243896407,312.2711442638189,4.257523812649088,8.26775446144519,4.10645813315157,.000125686,9,,,0,N
(2009 VT1),29.5,.501812006332497,1.978506811276691,.9856683387674237,.2729659793955636,216.4637781463707,179.1005968583204,2.971345283785958,198.0395067383601,2.78300846198839,.000708017,7,,,0,N
(2009 WQ6),29.2,.4086571732398537,.8666063105873154,.5124614253908845,5.815845599785141,55.52671521753304,227.3992131390307,1.220751195783746,149.0726040341803,0.806753713413202,.00206933,5,,,0,N
(2009 XR1),29.2,.4074119394444816,1.629276725126524,.9654899346509731,.4732921671849487,258.0030447359447,208.4151073449276,2.293063515602074,349.0095334928566,2.07969899760115,.00105017,9,,,0,N
(2010 UE),29.6,.6920937361003611,2.522042581937454,.7765527088001605,3.036412879207669,22.92130252819919,297.1735200769602,4.267532455074748,9.961452176114344,4.0053163605592,.000156535,9,,,0,N
(2010 VR21),29.25,.6565204374877952,2.407272568801361,.826848928779523,.8918206077988671,219.8509755447307,240.0409182398319,3.9876962088232,349.8067231292355,3.7350472722718,.00149864,8,,,0,N
(2010 VL65),29.22,.1480141867601198,1.071592147668537,.9129813073928479,4.229428680779783,222.5356545333368,252.681138796766,1.230202987944225,357.2114109801068,1.10930887125913,.00641005,6,,,0,N
