ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA
85585 Mjolnir (1998 FG2),21.64,.3563045847545428,1.297515984047975,.8352050901393796,4.082499313984437,2.305356014755264,95.41800051744403,1.759826877956571,37.5292849270066,1.47800967579934,.0217554,0,,11.6,0,Y
85640 (1998 OX4),21.14,.4858975741440891,1.580258967030483,.8124149684309271,4.515712273782351,299.5683378934169,117.3009492433806,2.348102965630038,15.26743578725463,1.98655501753071,.00102213,0,,,0,Y
152828 (1999 VT25),21.27,.5230788994949453,1.162170532444464,.5542636493079592,5.151860432055552,221.9385915636922,319.2388676571459,1.770077415580969,253.7011732476529,1.25289013994375,.0483458,0,,,0,Y
154019 (2002 CZ9),22.07,.3601494043145473,1.325427101594649,.8480753204929795,4.971131389708009,142.8426516737304,80.88047220623955,1.80277888269632,264.5347072333179,1.52595586266861,.0260357,1,,,0,Y
154590 (2003 MA3),21.71,.4022072081425588,1.105144851116095,.6606476259555665,1.415953844692027,152.6694901743151,228.8785061369277,1.549642076276623,56.98778647946205,1.16181508012036,.0130953,0,,,0,Y
162183 (1999 NB5),21.25,.5351445461755412,2.072404378366119,.9633684778131779,1.431878841781102,235.3104785221709,123.1933857963039,3.181440278919061,143.034420502021,2.98345817586422,.0129667,0,,,0,Y
162416 (2000 EH26),21.67,.478027957156707,1.854811438174833,.9681597154732237,.402210608044881,215.2470386287818,19.2204777565789,2.741463160876441,243.9003122323599,2.52614252840154,.000924333,0,,24,0,Y
163015 (2001 UX16),22.07,.368262607576374,1.416856712922664,.895081365259674,10.61769729313553,213.369598930054,254.5738584114819,1.938632060585654,182.5524303486776,1.68654176541898,.0634267,0,,,0,N
163026 (2001 XR30),21.23,.3652028312727474,1.297102563012041,.8233970345489064,11.86253021001536,247.8487706478177,294.5007751299536,1.770808091475176,106.0737641580872,1.47730333581235,.0209428,0,,,0,Y
164207 Cardea (2004 GU9),21.18,.1359367524206634,1.001265652687661,.8651568515509444,13.65288433586593,38.41359098121186,279.4797011089861,1.137374453824377,63.62772472145569,1.0019180020664,.000169655,0,,,0,Y
190491 (2000 FJ10),21.06,.2345940206880348,1.31934748983759,1.009836457511923,5.282036856032179,189.7437470608403,232.3797691028265,1.628858522163256,180.8615879176281,1.51546878351315,.0548284,0,,2.46,0,N
216985 (2000 QK130),21.34,.2619756316594347,1.180553548254772,.871277286742941,4.719367957121538,173.8066625788731,66.39777090582115,1.489829809766602,358.1358929540164,1.28273439073203,.000899159,0,,,0,Y
221787 (2007 VZ30),21.28,.1947266776514505,1.6048356032561,1.292331298057279,2.452821705065534,344.6357368160131,99.27856669976671,1.917339908454922,92.81177527826573,2.03307794051984,.312272,0,,,0,N
225312 (1996 XB27),21.94,.05817092141854812,1.18901967887403,1.119853308569142,2.465398123449374,179.3775249458852,58.20001934831728,1.258186049178919,12.23032354547474,1.29655745299832,.116499,0,,1.195,0,N
234145 (2000 EW70),21.58,.3212720144905665,.9375761996545739,.6363592052531394,5.42791627914814,178.0347253916152,125.7698466435096,1.238793194056009,294.5188875448168,0.907858290037635,.0108416,0,,33,0,Y
251732 (1998 HG49),21.76,.1124537624425801,1.200599506364449,1.065587574687062,4.195081012985748,44.80561860903434,324.2480040659954,1.335611438041835,248.7175636913556,1.31554419619003,.0766293,0,,,0,N
253062 (2002 TC70),21.10,.196499639069916,1.368623774024339,1.09968969640605,2.147704495828547,134.7388882075156,162.0963568216461,1.637557851642628,329.2295329568586,1.60115848772272,.0851894,0,,26.273,0,N
264357 (2000 AZ93),21.17,.3600103805628979,.7468521847490878,.477977645493337,8.587995606154129,277.3018960858918,8.171645252686359,1.015726724004838,311.1265499567853,0.645446404546295,.0220483,0,,,0,Y
265482 (2005 EE),21.21,.3277465615416397,1.128629800309392,.7587252640045612,6.171145404581699,110.776079050655,284.7514536251471,1.498534336614222,214.4673015010528,1.19904497134888,.0181169,0,,2.6534,0,Y
277810 (2006 FV35),21.73,.3774067534469937,1.001416896083067,.6234753964853915,7.104849128036988,179.4650763056679,170.7818813483389,1.379358395680743,43.25233497971843,1.00214502354023,.104668,1,,,0,N
278381 (2007 MR),21.92,.2587694655260995,1.02292797638041,.7582254506607566,5.827923106192767,172.7543163588728,217.6731341630511,1.287630502100063,170.8092983096168,1.03460789204288,.0694786,1,,,0,N
286080 (2001 TX1),21.24,.4825121859877517,1.047454152895094,.5420447598597335,2.802401342745746,159.1416726220567,354.1846831676733,1.552863545930455,86.91207907661747,1.07203937460697,.0423686,0,,,0,Y
306383 (1993 VD),21.49,.5515381658934815,.8758450567995626,.3927830805654597,2.066577017440283,2.169720719704622,254.2391007095419,1.358907033033665,6.107262318759677,0.819689037816094,.01731,0,,0.94345,0,Y
308635 (2005 YU55),21.91,.4305004358431969,1.156848646492931,.6588247999731117,.3399328233244095,35.92947392702548,273.5556039551615,1.65487249301275,189.3528781958552,1.24429402722352,.000429388,0,C,18,0,Y
320378 (2007 UR3),21.32,.2837270275298246,1.559983115006185,1.117373742788764,1.312533805361217,156.0719331191342,316.27561027,2.002592487223607,206.2218265105977,1.94844454033957,.135787,0,,,0,N
326290 Akhenaten (1998 HE3),21.83,.4401984983087203,.8789578020729722,.4920418975237164,3.378690500306882,53.44379262125032,309.3442340894763,1.265873706622228,305.228392633159,0.824062668981015,.00312961,0,,,0,Y
