ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
(2003 SW130),29.1,.3043544530605442,.8836607911013437,.6147146943346464,3.67370151792293,176.305335754868,47.74978028030559,1.152606887868041,107.0560197255901,0.830685405446081,.000790366,5,,,0,N,853.549925765697,4.906165399590203,1.0,2033-12-13,True,False,8.0,(2022 UL11),0.04999999999999716
(2007 EK),29.3,.2724291923635281,1.126231276355227,.8194129993232271,1.208586491640995,168.4963321240861,83.48832716834853,1.433049553387227,15.42258446488392,1.19522475113611,.00141077,6,,,0,N,838.153571565004,6.122301317740205,1.0,2032-08-26,True,False,11.0,(2024 UV7),0.07000000000000028
(2008 WO2),29.8,.1881591118666271,1.025135824736936,.8322471784117715,2.010356664502576,238.0154634411824,85.8818283497818,1.2180244710621,19.40612034979392,1.03795928555314,.00248567,6,,,0,N,329.62094389797403,27.344015316096424,2.0,2032-05-04,True,False,14.0,(2023 TP16),0.019999999999999574
(2009 WQ6),29.2,.4086571732398537,.8666063105873154,.5124614253908845,5.815845599785141,55.52671521753304,227.3992131390307,1.220751195783746,149.0726040341803,0.806753713413202,.00206933,5,,,0,N,1155.2755411466565,4.1747436789728045,2.0,2034-11-17,False,False,3.0,(2017 JQ1),0.10000000000000142
(2011 AM37),29.9,.1472712874521268,1.100426351608554,.9383651460609157,2.629440706252808,291.1882664595092,129.308251737285,1.262487557156193,181.0277017509868,1.1543823419208,.000423767,6,,,0,N,717.191926640774,7.47742473367202,1.0,2032-09-11,True,False,8.0,(2022 BT),0.0799999999999983
(2012 FT35),29.2,.2041629556661856,.8340075093878071,.6637340712233983,5.124083899260303,185.0394506337641,169.5972539521588,1.004280947552216,272.7854177367701,0.761663499534937,.00195327,6,,,0,N,150.49319727514236,3.195748439910432,1.0,2031-02-16,True,False,9.0,(2015 XH55),0.0
(2012 KT42),29.0,.5546312070152052,1.59776658744909,.7115953765236357,2.192821793000295,69.46844780414183,259.1183198236189,2.483937798374543,120.6503770841574,2.01965972304773,.000858184,6,,0.06057,0,N,1928.5761403090871,1.9807193295926533,3.0,2032-11-12,False,False,1.0,(2024 UB11),0.9699999999999989
(2013 RG),29.4,.6049554686407878,1.819321056946699,.7187128343334552,.9941221662279999,335.9163970322855,81.354653699891,2.919929279559942,252.8227091623513,2.45398679483544,.00152363,7,,,0,N,2613.0130206833373,1.687764155460008,1.0,2031-02-08,False,False,0.0,-,999.0
(2014 WX202),29.6,.05880549318553831,1.03553075137434,.9746358548309813,.4129438696637457,243.8884434370041,214.2293090056824,1.0964256479177,295.1630898131382,1.05378667523386,.000922785,2,,,0,N,219.51843948973,19.5919653083609,2.0,2033-10-25,True,False,21.0,(2021 VH),0.03999999999999915
(2015 XH55),29.2,.2119319576100992,1.047180773426463,.8252497021425351,5.187991651373225,70.69788217859796,268.6400425846641,1.269111844710392,352.3727546418709,1.07161970788889,.00704398,6,,,0,N,517.4346557190388,14.962637233195482,1.0,2030-11-28,False,False,11.0,(2012 FT35),0.0
(2016 EG1),29.1,.3166131285033735,1.180491380470608,.8067323113285427,14.7243000119891,344.5293013724249,257.6164001996851,1.554250449612674,7.878351674345688,1.28263306914647,.00154332,7,,,0,N,1279.5621469578173,4.538156391323643,1.0,2030-08-23,False,False,4.0,(2024 CF7),0.35999999999999943
(2016 EU84),29.0,.09523572518344481,.9204783366288103,.8328159147243145,3.198576403431103,169.0517694406446,206.0110309727273,1.008140758533306,279.7476570819221,0.883137975452174,.00359661,5,,,0,N,218.02424375185956,7.557099741077549,2.0,2031-02-22,True,False,17.0,(2023 FY3),0.019999999999999574
(2017 BG30),29.4,.1070430714939757,1.055297381181056,.9423351081598873,1.630608812739194,304.4771290732454,250.469260820815,1.168259654202225,168.799411865799,1.08410286678068,.00596905,6,,,0,N,306.3946004726945,12.890201110596607,1.0,2030-08-21,True,False,7.0,(2019 GV5),0.0
(2017 JQ1),29.3,.3447764056718967,1.147378990730747,.7517897863631519,5.767118818036586,42.88557800196755,270.1266782702466,1.542968195098343,132.7943957135415,1.22904714517812,.00102693,7,,,0,N,1193.655964642282,5.365913398406881,1.0,2033-04-28,False,False,3.0,(2009 WQ6),0.10000000000000142
(2017 QB35),29.3,.1390336683431721,.9301426377525082,.8008214947433827,4.813743641552761,159.2806386783556,315.6579518122643,1.059463780761634,75.75755697723871,0.897082803499926,.00280766,4,,,0,N,640.6929321784971,8.716549167750419,2.0,2034-05-27,False,False,13.0,(2020 FM1),0.0
(2017 TB),29.1,.2096646437869796,1.041279908743222,.8229603275940355,1.12379090128213,190.5444508707958,273.255388413192,1.259599489892408,340.9561583104905,1.06257461301659,.00072681,6,,,0,N,533.4920868064943,16.98092184341397,1.0,2034-10-05,True,False,19.0,(2019 NX5),0.0
(2018 BC),29.4,.06972811062560776,1.048288103970934,.9751929550897404,2.864282529661769,297.195676038195,212.8455301398451,1.121383252852128,258.0603503295131,1.07331991702488,.00095871,4,,,0,N,708.3251079237862,14.63885886096496,2.0,2033-05-04,False,False,14.0,(2021 EF3),0.05999999999999872
(2018 TV5),29.5,.5275367751412877,1.465046026997421,.6921803704816455,5.443688285543929,192.6661154869173,263.812714911118,2.237911683513196,226.6025837630893,1.77331180751796,.000165051,6,,,0,N,1884.2250501680555,2.293139442949441,1.0,2033-03-26,False,False,0.0,-,999.0
